Tip Matrice,Tip alocare,Nr threads,Timp executie
N=M=1000 si n=m=5,Dynamic,4,55.15814
N=M=1000 si n=m=5,Dynamic,4,55.2403
N=M=1000 si n=m=5,Dynamic,4,54.18805
N=M=1000 si n=m=5,Dynamic,4,54.89169
N=M=1000 si n=m=5,Dynamic,4,54.75214
N=M=1000 si n=m=5,Dynamic,4,55.83484
N=M=1000 si n=m=5,Dynamic,4,55.03829
N=M=1000 si n=m=5,Dynamic,4,56.05625
N=M=1000 si n=m=5,Dynamic,4,54.62176
N=M=1000 si n=m=5,Dynamic,4,54.82581
N=M=1000 si n=m=5,Dynamic,4,54.72398
N=M=1000 si n=m=5,Dynamic,4,57.06888
N=M=1000 si n=m=5,Dynamic,4,55.38753
N=M=1000 si n=m=5,Dynamic,4,55.33955
N=M=1000 si n=m=5,Dynamic,8,34.40244
N=M=1000 si n=m=5,Dynamic,8,37.57203
N=M=1000 si n=m=5,Dynamic,8,35.75039
N=M=1000 si n=m=5,Dynamic,8,36.83446
N=M=1000 si n=m=5,Dynamic,8,35.32686
N=M=1000 si n=m=5,Dynamic,8,37.03838
N=M=1000 si n=m=5,Dynamic,8,33.98172
N=M=1000 si n=m=5,Dynamic,8,34.29818
N=M=1000 si n=m=5,Dynamic,8,33.14743
N=M=1000 si n=m=5,Dynamic,8,35.2626
N=M=1000 si n=m=5,Dynamic,8,41.52101
N=M=1000 si n=m=5,Dynamic,8,34.14959
N=M=1000 si n=m=5,Dynamic,8,32.72678
N=M=1000 si n=m=5,Dynamic,8,34.01706
N=M=1000 si n=m=5,Dynamic,8,33.64856
N=M=1000 si n=m=5,Dynamic,16,31.15409
N=M=1000 si n=m=5,Dynamic,16,28.54931
N=M=1000 si n=m=5,Dynamic,16,29.64995
N=M=1000 si n=m=5,Dynamic,16,27.9708
N=M=1000 si n=m=5,Dynamic,16,28.86324
N=M=1000 si n=m=5,Dynamic,16,28.00594
N=M=1000 si n=m=5,Dynamic,16,28.23801
N=M=1000 si n=m=5,Dynamic,16,28.44331
N=M=1000 si n=m=5,Dynamic,16,27.62269
N=M=1000 si n=m=5,Dynamic,16,28.27509
N=M=1000 si n=m=5,Dynamic,16,27.80649
N=M=1000 si n=m=5,Dynamic,16,28.31226
N=M=1000 si n=m=5,Dynamic,16,28.07489
N=M=1000 si n=m=5,Dynamic,16,28.05309
N=M=1000 si n=m=5,Dynamic,16,28.48775
N=10 M=10000 si n=m=5,Static,Sequential,19.94089
N=10 M=10000 si n=m=5,Static,Sequential,18.75828
N=10 M=10000 si n=m=5,Static,Sequential,18.86502
N=10 M=10000 si n=m=5,Static,Sequential,18.82248
N=10 M=10000 si n=m=5,Static,Sequential,18.98132
N=10 M=10000 si n=m=5,Static,2,23.99045
N=10 M=10000 si n=m=5,Static,2,23.95686
N=10 M=10000 si n=m=5,Static,2,23.91652
N=10 M=10000 si n=m=5,Static,2,23.93163
N=10 M=10000 si n=m=5,Static,2,23.49935
N=10 M=10000 si n=m=5,Static,2,23.88092
N=10 M=10000 si n=m=5,Static,2,23.95589
N=10 M=10000 si n=m=5,Static,2,23.30458
N=10 M=10000 si n=m=5,Static,2,23.66792
N=10 M=10000 si n=m=5,Static,2,23.31972
N=10 M=10000 si n=m=5,Static,2,23.87169
N=10 M=10000 si n=m=5,Static,2,23.58114
N=10 M=10000 si n=m=5,Static,2,23.8766
N=10 M=10000 si n=m=5,Static,2,23.9849
N=10 M=10000 si n=m=5,Static,2,23.8719
N=10 M=10000 si n=m=5,Static,4,14.34924
N=10 M=10000 si n=m=5,Static,4,14.37689
N=10 M=10000 si n=m=5,Static,4,14.48821
N=10 M=10000 si n=m=5,Static,4,13.99315
N=10 M=10000 si n=m=5,Static,4,14.37406
N=10 M=10000 si n=m=5,Static,4,14.06897
N=10 M=10000 si n=m=5,Static,4,14.42779
N=10 M=10000 si n=m=5,Static,4,14.21254
N=10 M=10000 si n=m=5,Static,4,14.35287
N=10 M=10000 si n=m=5,Static,4,14.49024
N=10 M=10000 si n=m=5,Static,4,14.41044
N=10 M=10000 si n=m=5,Static,4,14.32124
N=10 M=10000 si n=m=5,Static,4,14.44461
N=10 M=10000 si n=m=5,Static,4,14.41297
N=10 M=10000 si n=m=5,Static,4,14.49841
N=10 M=10000 si n=m=5,Static,8,9.67698
N=10 M=10000 si n=m=5,Static,8,9.38902
N=10 M=10000 si n=m=5,Static,8,9.67119
N=10 M=10000 si n=m=5,Static,8,9.55893
N=10 M=10000 si n=m=5,Static,8,9.55098
N=10 M=10000 si n=m=5,Static,8,9.48568
N=10 M=10000 si n=m=5,Static,8,9.70454
N=10 M=10000 si n=m=5,Static,8,9.49687
N=10 M=10000 si n=m=5,Static,8,9.7148
N=10 M=10000 si n=m=5,Static,8,9.70895
N=10 M=10000 si n=m=5,Static,8,9.57166
N=10 M=10000 si n=m=5,Static,8,9.66158
N=10 M=10000 si n=m=5,Static,8,9.73083
N=10 M=10000 si n=m=5,Static,8,9.48148
N=10 M=10000 si n=m=5,Static,8,9.74627
N=10 M=10000 si n=m=5,Static,16,5.39971
N=10 M=10000 si n=m=5,Static,16,5.3315
N=10 M=10000 si n=m=5,Static,16,5.27867
N=10 M=10000 si n=m=5,Static,16,5.26386
N=10 M=10000 si n=m=5,Static,16,5.22872
N=10 M=10000 si n=m=5,Static,16,5.21972
N=10 M=10000 si n=m=5,Static,16,5.33512
N=10 M=10000 si n=m=5,Static,16,5.22469
N=10 M=10000 si n=m=5,Static,16,5.33013
N=10 M=10000 si n=m=5,Static,16,5.26045
N=10 M=10000 si n=m=5,Static,16,5.25864
N=10 M=10000 si n=m=5,Static,16,5.2404
N=10 M=10000 si n=m=5,Static,16,5.30748
N=10 M=10000 si n=m=5,Static,16,5.24057
N=10 M=10000 si n=m=5,Static,16,5.3334
N=10 M=10000 si n=m=5,Dynamic,Sequential,22.75955
N=10 M=10000 si n=m=5,Dynamic,Sequential,22.60506
N=10 M=10000 si n=m=5,Dynamic,Sequential,22.69564
N=10 M=10000 si n=m=5,Dynamic,Sequential,22.68542
N=10 M=10000 si n=m=5,Dynamic,Sequential,22.73835
N=10 M=10000 si n=m=5,Dynamic,2,12.48802
N=10 M=10000 si n=m=5,Dynamic,2,10.80268
N=10 M=10000 si n=m=5,Dynamic,2,10.75951
N=10 M=10000 si n=m=5,Dynamic,2,10.75234
N=10 M=10000 si n=m=5,Dynamic,2,10.7746
