Tip Matrice,Nr threads,Timp executie
N=10 M=10000 si n=m=5,16,11.7235
N=10 M=10000 si n=m=5,16,11.7482
N=10 M=10000 si n=m=5,16,11.85385
N=10 M=10000 si n=m=5,16,11.42607
 N=10000 M=10 si n=m=5,Sequential,13.44109
 N=10000 M=10 si n=m=5,Sequential,13.23826
 N=10000 M=10 si n=m=5,Sequential,13.99668
 N=10000 M=10 si n=m=5,Sequential,13.96935
 N=10000 M=10 si n=m=5,Sequential,12.86369
N=10000 M=10 si n=m=5,2,15.30074
N=10000 M=10 si n=m=5,2,15.3931101
N=10000 M=10 si n=m=5,2,14.3620701
N=10000 M=10 si n=m=5,2,15.7969696
N=10000 M=10 si n=m=5,2,15.3118101
N=10000 M=10 si n=m=5,2,14.9931099
N=10000 M=10 si n=m=5,2,13.989
N=10000 M=10 si n=m=5,2,15.1509102
N=10000 M=10 si n=m=5,2,14.5361401
N=10000 M=10 si n=m=5,2,15.4166502
N=10000 M=10 si n=m=5,2,14.9914201
N=10000 M=10 si n=m=5,2,15.1952701
N=10000 M=10 si n=m=5,4,14.1382801
N=10000 M=10 si n=m=5,4,14.53622
N=10000 M=10 si n=m=5,4,14.30607
N=10000 M=10 si n=m=5,4,14.7752402
N=10000 M=10 si n=m=5,4,14.8425695
N=10000 M=10 si n=m=5,4,14.6865303
N=10000 M=10 si n=m=5,4,15.0013901
N=10000 M=10 si n=m=5,4,13.95904
N=10000 M=10 si n=m=5,4,13.89389
N=10000 M=10 si n=m=5,4,14.59497
N=10000 M=10 si n=m=5,4,14.57139
N=10000 M=10 si n=m=5,4,15.15922
N=10000 M=10 si n=m=5,4,14.19129
N=10000 M=10 si n=m=5,4,14.28652
N=10000 M=10 si n=m=5,8,14.949
N=10000 M=10 si n=m=5,8,14.94539
N=10000 M=10 si n=m=5,8,16.46881
N=10000 M=10 si n=m=5,8,15.59538
N=10000 M=10 si n=m=5,8,15.99588
N=10000 M=10 si n=m=5,8,14.43289
N=10000 M=10 si n=m=5,8,14.9532
N=10000 M=10 si n=m=5,8,15.36147
N=10000 M=10 si n=m=5,8,15.82826
N=10000 M=10 si n=m=5,8,14.61269
N=10000 M=10 si n=m=5,8,15.71031
N=10000 M=10 si n=m=5,8,15.28994
N=10000 M=10 si n=m=5,8,14.2479
N=10000 M=10 si n=m=5,16,15.22591
N=10000 M=10 si n=m=5,16,15.98209
N=10000 M=10 si n=m=5,16,15.69944
N=10000 M=10 si n=m=5,16,14.70003
N=10000 M=10 si n=m=5,16,14.73064
N=10000 M=10 si n=m=5,16,14.4854
N=10000 M=10 si n=m=5,16,15.39975
N=10000 M=10 si n=m=5,16,16.29979
N=10000 M=10 si n=m=5,16,14.57196
N=10000 M=10 si n=m=5,16,16.04377
N=10000 M=10 si n=m=5,16,15.63066
N=10000 M=10 si n=m=5,16,15.67399
N=10000 M=10 si n=m=5,16,14.29823
N=10000 M=10 si n=m=5,16,16.42848
N=10000 M=10 si n=m=5,16,15.95951
N=M=10 si n=m=3,Sequential,0.14155
N=M=10 si n=m=3,Sequential,0.1341
N=M=10 si n=m=3,Sequential,0.13339
N=M=10 si n=m=3,Sequential,0.13066
N=M=10 si n=m=3,Sequential,0.13015
N=M=10 si n=m=3,4,1.10267
N=M=10 si n=m=3,4,1.11779
N=M=10 si n=m=3,4,1.10141
N=M=10 si n=m=3,4,1.10385
N=M=10 si n=m=3,4,1.08347
N=M=10 si n=m=3,4,1.0774
N=M=10 si n=m=3,4,1.10126
N=M=10 si n=m=3,4,1.09513
N=M=10 si n=m=3,4,1.0766
N=M=10 si n=m=3,4,1.09093
N=M=10 si n=m=3,4,1.09202
N=M=10 si n=m=3,4,1.0742
N=M=10 si n=m=3,4,1.0739
N=M=10 si n=m=3,4,1.10883
N=M=10 si n=m=3,4,1.11192
N=M=1000 si n=m=5,Sequential,36.42326
N=M=1000 si n=m=5,Sequential,36.65691
N=M=1000 si n=m=5,Sequential,36.60332
N=M=1000 si n=m=5,Sequential,36.46525
N=M=1000 si n=m=5,Sequential,36.53894
N=M=1000 si n=m=5,2,25.55517
N=M=1000 si n=m=5,2,25.2631
N=M=1000 si n=m=5,2,25.44925
N=M=1000 si n=m=5,2,25.42483
N=M=1000 si n=m=5,2,26.28004
N=M=1000 si n=m=5,2,25.31539
N=M=1000 si n=m=5,2,25.8923
N=M=1000 si n=m=5,2,25.15435
N=M=1000 si n=m=5,2,26.19648
N=M=1000 si n=m=5,2,25.665
N=M=1000 si n=m=5,2,26.31512
N=M=1000 si n=m=5,2,25.57695
N=M=1000 si n=m=5,2,25.62403
N=M=1000 si n=m=5,2,26.02608
N=M=1000 si n=m=5,2,25.65261
N=M=1000 si n=m=5,4,23.45663
N=M=1000 si n=m=5,4,23.71422
N=M=1000 si n=m=5,4,23.20514
N=M=1000 si n=m=5,4,23.19102
N=M=1000 si n=m=5,4,24.50778
N=M=1000 si n=m=5,4,24.04005
N=M=1000 si n=m=5,4,23.5958799
N=M=1000 si n=m=5,4,23.2951501
N=M=1000 si n=m=5,4,23.5604499
N=M=1000 si n=m=5,4,23.4921896
N=M=1000 si n=m=5,4,24.16757
N=M=1000 si n=m=5,4,23.01435
N=M=1000 si n=m=5,4,23.72339
N=M=1000 si n=m=5,4,24.2372502
N=M=1000 si n=m=5,4,23.8163599
N=M=1000 si n=m=5,8,25.5872898
N=M=1000 si n=m=5,8,25.6380599
N=M=1000 si n=m=5,8,24.9789901
N=M=1000 si n=m=5,8,25.0205498
N=M=1000 si n=m=5,8,25.6835096
N=M=1000 si n=m=5,8,25.2602204
N=M=1000 si n=m=5,8,24.97963
N=M=1000 si n=m=5,8,25.5523
N=M=1000 si n=m=5,8,25.0720298
N=M=1000 si n=m=5,8,25.8022702
N=M=1000 si n=m=5,8,25.0751499
N=M=1000 si n=m=5,8,25.6245598
N=M=1000 si n=m=5,8,25.5767399
N=M=1000 si n=m=5,8,26.2908699
N=M=1000 si n=m=5,8,26.2145399
N=M=1000  si n=m=5,16,32.0056602
N=M=1000  si n=m=5,16,32.7481802
N=M=1000  si n=m=5,16,32.8293498
N=M=1000  si n=m=5,16,32.2517499
N=M=1000  si n=m=5,16,31.93503
N=M=1000  si n=m=5,16,33.3028397
N=M=1000  si n=m=5,16,33.76501
N=M=1000  si n=m=5,16,33.3465798
N=M=1000  si n=m=5,16,34.0467304
N=M=1000  si n=m=5,16,33.8176603
N=M=1000  si n=m=5,16,33.1856401
N=M=1000  si n=m=5,16,33.0535803
N=M=1000  si n=m=5,16,33.4676
N=M=1000  si n=m=5,16,32.6270199
N=M=1000  si n=m=5,16,33.4700401
N=10 M=10000 si n=m=5,Sequential,9.7543601
N=10 M=10000 si n=m=5,Sequential,9.4774
N=10 M=10000 si n=m=5,Sequential,9.9921399
N=10 M=10000 si n=m=5,Sequential,9.1165999
N=10 M=10000 si n=m=5,Sequential,8.6479396
N=10 M=10000 si n=m=5,2,10.0504199
N=10 M=10000 si n=m=5,2,10.6019898
N=10 M=10000 si n=m=5,2,10.0597198
N=10 M=10000 si n=m=5,2,10.5988602
N=10 M=10000 si n=m=5,2,10.5261698
N=10 M=10000 si n=m=5,2,10.4467801
N=10 M=10000 si n=m=5,2,9.9077799
N=10 M=10000 si n=m=5,2,9.8277201
N=10 M=10000 si n=m=5,2,9.9431202
N=10 M=10000 si n=m=5,2,9.67007
N=10 M=10000 si n=m=5,2,9.5083
N=10 M=10000 si n=m=5,2,9.9619097
N=10 M=10000 si n=m=5,2,9.74009
N=10 M=10000 si n=m=5,2,9.6918504
N=10 M=10000 si n=m=5,2,9.75243
N=10 M=10000 si n=m=5,4,9.9415899
N=10 M=10000 si n=m=5,4,9.756
N=10 M=10000 si n=m=5,4,9.8784099
N=10 M=10000 si n=m=5,4,9.9215599
N=10 M=10000 si n=m=5,4,10.0063297
N=10 M=10000 si n=m=5,4,9.9643898
N=10 M=10000 si n=m=5,4,9.7606797
N=10 M=10000 si n=m=5,4,10.0843
N=10 M=10000 si n=m=5,4,9.6630999
N=10 M=10000 si n=m=5,4,9.7152702
N=10 M=10000 si n=m=5,4,9.8207703
N=10 M=10000 si n=m=5,4,9.49213
N=10 M=10000 si n=m=5,4,9.88831
N=10 M=10000 si n=m=5,4,9.7229801
N=10 M=10000 si n=m=5,4,9.5263602
N=10 M=10000 si n=m=5,8,10.07053
N=10 M=10000 si n=m=5,8,10.9912403
N=10 M=10000 si n=m=5,8,10.5104099
N=10 M=10000 si n=m=5,8,10.3439501
N=10 M=10000 si n=m=5,8,10.1733697
N=10 M=10000 si n=m=5,8,10.2354598
N=10 M=10000 si n=m=5,8,10.3065698
N=10 M=10000 si n=m=5,8,10.51538
N=10 M=10000 si n=m=5,8,10.2617001
N=10 M=10000 si n=m=5,8,10.2672699
N=10 M=10000 si n=m=5,8,10.4730701
N=10 M=10000 si n=m=5,8,10.66881
N=10 M=10000 si n=m=5,8,10.4460598
N=10 M=10000 si n=m=5,8,10.2438703
N=10 M=10000 si n=m=5,8,10.8878098
N=10 M=10000 si n=m=5,16,12.14697
N=10 M=10000 si n=m=5,16,11.7175302
N=10 M=10000 si n=m=5,16,11.74086
N=10 M=10000 si n=m=5,16,11.6198898
N=10 M=10000 si n=m=5,16,12.51829
N=10 M=10000 si n=m=5,16,11.8103599
N=10 M=10000 si n=m=5,16,12.0994399
N=10 M=10000 si n=m=5,16,11.7963001
N=10 M=10000 si n=m=5,16,11.9380903
N=10 M=10000 si n=m=5,16,11.68251
N=10 M=10000 si n=m=5,16,11.8004803
